FIELD LABELS,tcmalloc,dieharder,hoard,libcmalloc221,libcmalloc224,jemalloc,omalloc
num_sbrk,528.3101604,0,0,0,0,11.62051282,0
size_sbrk,525020767.8,0,0,0,0,0,0
cycles_alloc,6888313023,61908926872,7389550223,5878885973,5978763406,7311830998,16298179706
cycles_allocFFL,74075355504,1.06E+12,71849738111,79753048586,57195002010,88109422771,2.32E+11
cycles_free,82347073679,1.19E+12,80421779049,77420661568,56292377650,98365484052,2.45E+11
NEW ALLOCATIONS,,,,,,,
allocation cycles,2324105.408,3708322.08,2535955.11,3589411.996,3708815.114,2918160.336,2172571.033
allocation faults,0.273796791,0.887922705,0.411214953,0.639130435,0.643478261,0.881538462,0.378832117
allocation tlb read misses,26.4459893,136.1289855,13.82242991,10.7,8.434057971,23.75384615,8.004379562
allocation tlb write misses,1.75026738,3.244927536,3.280841122,5.723913043,5.30942029,3.977435897,2.529927007
allocation cache misses,18.48930481,29.01400966,30.88925234,28.05,31.77753623,60.58769231,11.64306569
num allocation instr,75.99037433,76.4589372,47.92149533,117.2173913,119.1181159,297.9112821,35.79124088
FREELIST ALLOCATIONS,,,,,,,
allocation cycles,2162155.882,65660785.87,2051687.479,1915548.284,1699116.148,1908242.793,12578136.64
allocation faults,0.002673797,0.055555556,0.004205607,0.37826087,0.365942029,0.002051282,0.077372263
allocation tlb read misses,13.13529412,4845.04058,12.10327103,18,18.01521739,10.51333333,13.88029197
allocation tlb write misses,1.684491979,0.961835749,3.639719626,8.723913043,8.995652174,0.397948718,2.849635037
allocation cache misses,20.55882353,336.342029,21.39485981,40.44202899,55.00507246,10.97589744,1.642335766
num allocation instr,23.90481283,24.00869565,13.20186916,101.7289855,109.0478261,17.46102564,-3.594890511
DEALLOCATIONS,,,,,,,
deallocation cycles,3174461.156,28760738.4,2979776.695,2684868.922,2611092.87,3042529.014,3761246.628
deallocation faults,0.011229947,0.015458937,0.010280374,0.001449275,0.000724638,0.007692308,0.000729927
deallocation tlb read misses,5.763636364,238.442029,4.671495327,1.027536232,1.065217391,4.023589744,4.786131387
deallocation tlb write misses,0.59197861,0.475362319,1.010747664,0.178985507,0.122463768,0.252307692,1.320437956
deallocation cache misses,24.32192513,65.39227053,43.23691589,45.27898551,51.92536232,28.54512821,25.89343066
num deallocation instr,37.60855615,37.96425121,30.11401869,39.8115942,40.21304348,35.70615385,23.5
LOCK TOTALS,,,,,,,
num pthread mutex locks,0,4,0,37.60869565,38.54347826,148.0717949,2
num pthread trylocks,0,0,0,0,0,0,0
num pthread spin locks,0,0,0,0,0,0,0
num pthread spin trylocks,0,0,0,0,0,0,0
Thread Contention,,,,,,,
mutex_waits,0,60530020.29,0,7492230.348,7492303.065,634909.1385,13307563.41
mutex_wait_cycles,0,8262102.815,0,278.8818841,293.9782609,46776.94462,111307.9861
mutex_trylock_waits,0,0,0,39,39,0,0
mutex_trylock_fails,0,0,0,0,0,0,0
spinlock_waits,0,0,0,0,0,0,0
spinlock_wait_cycles,0,0,0,0,0,0,0
spin_trylock_waits,0,0,0,0,0,0,0
spin_trylock_fails,0,0,0,0,0,0,0
mmap_waits,0,55125.08213,480.8971963,106.1594203,106.615942,89.56410256,36559.16788
mmap_wait_cycles,0,6719.931401,343694.1547,340791.8594,309966.3609,313247.4646,135500.8453
sbrk_wait_cycles,7102.84492,0,0,0,0,55.47948718,0
madvise_waits,1.540106952,0,0,25568.82609,3420.318841,1729.841026,0
madvise_wait_cycles,58902.25668,0,0,62649.30725,126660.8304,518.2492308,0
munmap_waits,0,14446.21256,489.8457944,121.884058,121.6014493,11.62051282,40479.18248
munmap_wait_cycles,0,166229.458,67271.82991,564552.1768,722486.0507,2289.875897,184316.1299
mremap_waits,0,0,0,0,0,0,0
mremap_wait_cycles,0,0,0,0,0,0,0
mprotect_waits,0,0,0,11478.30435,11153.72464,0,2.737226277
mprotect_wait_cycle,0,0,0,234318.5022,388162.9174,0,6093.411679
critical_section_counter,0,11846474.56,0,7492231.261,7492303.065,633498.1026,12533011.94
critical_section_duration,0,4131127.314,0,50765.46957,9621.382609,14340.01538,72744.96131
Total Memory Usage,,,,,,,
maxRealMemoryUsage,2.07E+18,8.02E+17,1.55E+18,8.02E+17,8.02E+17,1.42E+18,8.08E+17
maxRealAllocMemoryUsage,2.07E+18,8.02E+17,1.55E+18,8.02E+17,8.02E+17,1.42E+18,8.08E+17
maxTotalMemoryUsage,463863654.7,548593149.5,529370140.7,477257876.4,477076880.7,472750237.5,490500395
realMemoryUsage,472249267.1,487792889.5,477221900.3,480895601.9,481475190.1,446098720.4,482904111.6
realAllocatedMemoryUsage,488223509.5,544677742.8,562716076.5,487350663.7,487932750.1,459171411.8,488606838.2
totalMemoryUsage,525896698.5,5849854447,786614520.8,4926789780,994151824.7,604414981.3,5358894775
Detailed Lock Usage,,,,,,,
num sampled accesses,1159930.182,1370026.638,1266945.542,729290.9058,691582.5725,1214316.441,1960537.693
total cache bytes accessed,70092642.64,75749657.65,74418358.41,43319024.25,41394319.62,72816808.75,112666884.6
total page bytes accessed,4162653190,4450982365,4389702784,2632450238,2501386833,4233128650,6793440476
cache line writes,411385.508,473564.8116,468528.6402,297629.2754,278915.2899,440073.9846,713512.9781
cache owner conflicts,0.310107487,0.327020773,0.312457944,0.323871739,0.326223913,0.298437436,0.318284672
avg. cache utilization,nan,nan,nan,nan,nan,nan,nan
avg. page utilization,nan,nan,nan,nan,nan,nan,nan
